"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C1","Paid","","7863481729","Female","1982-10-31"," Cameron","Vanderbeck","cameron_vanderbeck@outlook.com","PO39 0ED","42","AD1012"
"C2","Paid","","2538410887","Male","2000-01-29"," Spencer","Columbus Norvell","spencer_columbusnorvell@hotmail.com","CF11 8DT","33","AD1045"
"C3","Organic","","8189890540","Female","1995-03-16"," Maribel","Reza-Hernandez","maribel_reza-hernandez@yahoo.com","WN6 7JD","29",""
"C4","Organic","","9631624996","Female","2001-02-12"," Lana","Dena","lana_dena@hotmail.com","EH54 8BG","48",""
"C5","Paid","","2486744645","Female","1988-03-14"," Dakota","Brutus","dakota_brutus@hotmail.com","HP19 0UL","43","AD1029"
"C6","Paid","","2743152264","Female","2004-09-06"," Ethan","Martin","ethan_martin@outlook.com","W1S 4RJ","2","AD1004"
"C7","Paid","","8969620894","Female","2001-10-18"," Shaafia","el-Zafar","shaafia_el-zafar@outlook.com","N19 3XS","6","AD1024"
"C8","Organic","","7852543341","Male","1998-05-16"," Daniel","Vongvichith","daniel_vongvichith@hotmail.com","TR13 0RD","26",""
"C9","Organic","","4264101111","Male","1983-08-07"," Raymond","Keegan","raymond_keegan@yahoo.com","BH24 4DF","25",""
"C10","Paid","","3807417802","Female","2005-11-28"," Christina","Cartahena Jr","christina_cartahenajr@yahoo.com","B37 5QU","43","AD1042"
"C11","Paid","","9349724935","Male","2006-10-02"," Abigail","Perez-Schipper","abigail_perez-schipper@gmail.com","AB53 5PG","41","AD1003"
"C12","Organic","","8558651075","Female","1991-04-23"," Christopher","Rowe","christopher_rowe@outlook.com","BT47 6BP","11",""
"C13","Organic","","6994715074","Male","1999-03-10"," Chiara","Gang","chiara_gang@yahoo.com","NE8 2RD","38",""
"C14","Paid","","3719963692","Male","1983-10-06"," Tyrone","Hord Sherrer","tyrone_hordsherrer@outlook.com","BL1 6RS","30","AD1013"
"C15","Paid","","1626580555","Male","1993-09-23"," Jamie","Rivera","jamie_rivera@gmail.com","LL29 9LJ","41","AD1046"
"C16","Organic","","8425234283","Female","1994-01-01"," Cindy","Gallegos","cindy_gallegos@hotmail.com","PR8 4ES","24",""
"C17","Organic","","7868034461","Male","1984-12-21"," Christopher","Rowe","christopher_rowe@outlook.com","UB6 8JQ","18",""
"C18","Organic","","8567554167","Female","1999-02-27"," Orlando","Schlup","orlando_schlup@hotmail.com","L17 8TB","34",""
"C19","Organic","","2887650749","Male","1986-05-02"," Kelsie","Nelson","kelsie_nelson@gmail.com","E14 3XB","43",""
"C20","Organic","","7048583296","Female","1985-05-12"," Karesha","Brown","karesha_brown@hotmail.com","PE4 7JW","37",""
"C21","Organic","","3921941564","Female","1999-09-12"," Jessica","Shinnick","jessica_shinnick@hotmail.com","LE13 1FZ","49",""
"C22","Organic","","9021271850","Male","2000-03-21"," Morgan","Strohl","morgan_strohl@outlook.com","N2 0UZ","35",""
"C23","Referral","C15","6833654590","Male","1981-09-13"," Jawhar","al-Pirani","jawhar_al-pirani@hotmail.com","BD17 6ES","6",""
"C24","Organic","","4660076894","Female","1989-05-15"," Rayden","Shepard","rayden_shepard@hotmail.com","M40 1HL","5",""
"C25","Organic","","8667017688","Female","1993-02-06"," Sean","Berry","sean_berry@hotmail.com","BS4 2SN","19",""
"C26","Paid","","5044257090","Female","1986-04-10"," Ethan","Martin","ethan_martin@gmail.com","LN13 0DZ","10","AD1042"
"C27","Organic","","3847884292","Female","1988-04-16"," Darius","Douglas","darius_douglas@hotmail.com","HR9 5LY","10",""
"C28","Organic","","2794927303","Female","1995-12-23"," Saleem","al-Rahmani","saleem_al-rahmani@hotmail.com","SE3 8QZ","45",""
"C29","Organic","","5952415367","Female","2001-09-28"," Aaron","Fulmer","aaron_fulmer@yahoo.com","CW6 9PG","45",""
"C30","Paid","","9258098697","Female","2000-11-02"," Kelsie","Nelson","kelsie_nelson@hotmail.com","IM9 5PJ","4","AD1042"
"C31","Organic","","1539480146","Male","1999-01-05"," Muntaha","el-Haque","muntaha_el-haque@hotmail.com","DE13 0NG","2",""
"C32","Paid","","9785614480","Female","1988-02-15"," Silvano","Kuck","silvano_kuck@outlook.com","CA22 2DZ","40","AD1010"
"C33","Organic","","1154214611","Female","1989-10-26"," Muneef","el-Ishak","muneef_el-ishak@outlook.com","HP6 6QW","39",""
"C34","Paid","","2059525924","Female","1987-12-13"," Imraan","el-Shad","imraan_el-shad@gmail.com","IP16 4RH","19","AD1016"
"C35","Organic","","1270749558","Female","2003-10-24"," Aaron","Fulmer","aaron_fulmer@hotmail.com","KA19 7PZ","39",""
"C36","Paid","","8945951649","Male","2005-05-16"," Phillip","Suy","phillip_suy@gmail.com","PE22 7DA","39","AD1004"
"C37","Organic","","2891484803","Female","1983-07-02"," Mia","Zozaya","mia_zozaya@gmail.com","S41 0BW","49",""
"C38","Referral","C36","9775125988","Male","2000-02-04"," Shyanne","Renz","shyanne_renz@hotmail.com","RG2 0TB","32",""
"C39","Paid","","8623596865","Male","1993-04-22"," Darius","Douglas","darius_douglas@hotmail.com","OL15 9QS","3","AD1039"
"C40","Referral","C30","4214551201","Female","1996-01-22"," Yvette","Coria","yvette_coria@outlook.com","IP12 3QU","46",""
"C41","Organic","","2568122246","Male","1989-03-14"," Zuhaira","el-Rashid","zuhaira_el-rashid@yahoo.com","CF44 6UB","47",""
"C42","Organic","","5069258251","Male","1992-11-19"," Trenell","Hammond","trenell_hammond@gmail.com","MK4 2JX","25",""
"C43","Organic","","2490744035","Male","1985-06-15"," Mia","Zozaya","mia_zozaya@outlook.com","TS19 7QT","32",""
"C44","Organic","","9496549926","Female","1993-09-07"," Sierra","Keeler","sierra_keeler@gmail.com","TN22 5LG","5",""
"C45","Referral","C38","4468501163","Female","2004-12-21"," Annelise","Kaler","annelise_kaler@hotmail.com","WN7 1TJ","5",""
"C46","Paid","","1503758175","Male","1980-06-09"," Jordahn","Murphy","jordahn_murphy@gmail.com","B77 4PU","2","AD1012"
"C47","Organic","","2230992879","Female","1996-07-21"," Daniel","Vongvichith","daniel_vongvichith@outlook.com","M9 4DX","28",""
"C48","Organic","","6388703755","Female","2006-03-29"," Morgan","Strohl","morgan_strohl@hotmail.com","FK5 4BH","13",""
"C49","Referral","C45","7504855154","Female","1984-07-30"," Christopher","Rowe","christopher_rowe@outlook.com","BS20 8JH","41",""
"C50","Organic","","5161917163","Female","1985-01-07"," Muneef","el-Ishak","muneef_el-ishak@yahoo.com","DA11 7LU","39",""
"C51","Organic","","6217488176","Female","1988-12-06"," Lisa","Humphries","lisa_humphries@outlook.com","TA18 7AJ","24",""
"C52","Paid","","8255397840","Female","1982-07-25"," Awad","al-Salik","awad_al-salik@gmail.com","DY8 3EB","2","AD1028"
"C53","Paid","","7800625265","Male","1999-02-12"," Imraan","el-Shad","imraan_el-shad@outlook.com","SP4 6NN","33","AD1020"
"C54","Organic","","4330237133","Female","1986-04-18"," Shaafia","el-Zafar","shaafia_el-zafar@yahoo.com","BS37 6SD","19",""
"C55","Organic","","2578427329","Female","1998-06-20"," Sierra","Keeler","sierra_keeler@gmail.com","IP33 1RD","20",""
"C56","Paid","","4422636767","Male","2003-07-22"," Michaela","Logan","michaela_logan@yahoo.com","RG20 9AR","46","AD1035"
"C57","Paid","","5171298076","Female","1994-01-11"," Devante","Freeman","devante_freeman@outlook.com","HX1 4QZ","31","AD1042"
"C58","Organic","","4897772392","Male","1985-05-24"," Kevin","Swartout","kevin_swartout@gmail.com","BD15 0ND","29",""
"C59","Organic","","5533659001","Male","2002-09-12"," Zaquin","Vogltanz","zaquin_vogltanz@gmail.com","AL9 5ED","13",""
"C60","Organic","","6438954558","Female","1996-07-09"," Karesha","Brown","karesha_brown@gmail.com","OX26 3FX","42",""
"C61","Organic","","6935813190","Male","1995-06-06"," Faisal","el-Kamara","faisal_el-kamara@yahoo.com","DL3 0PS","9",""
"C62","Paid","","6569605692","Male","2003-08-12"," Dakota","Brutus","dakota_brutus@outlook.com","GL5 3HJ","13","AD1009"
"C63","Paid","","5926652946","Female","1992-09-11"," Abigail","Perez-Schipper","abigail_perez-schipper@hotmail.com","CA19 1UN","46","AD1046"
"C64","Paid","","3315583755","Female","2003-09-07"," Crystal","Bailey","crystal_bailey@yahoo.com","DY5 2YE","12","AD1047"
"C65","Organic","","3087823775","Female","1988-05-03"," Blake","Floyd","blake_floyd@outlook.com","S81 7PE","30",""
"C66","Organic","","9278571320","Female","1991-12-29"," Matthew","Hofmann","matthew_hofmann@outlook.com","CT19 4JP","35",""
"C67","Organic","","7914390444","Male","1989-05-27"," Monique","Giltner","monique_giltner@gmail.com","DA9 9HD","16",""
